event_id,event_name,user_id,session_id,timestamp,environment,page_path,properties,device_type,country
evt_001,page_view,user_1001,sess_5001,2026-03-24T00:05:23Z,canary,/home,"{""referrer"": ""google.com"", ""utm_source"": ""organic""}",desktop,US
evt_002,page_view,user_1002,sess_5002,2026-03-24T00:08:45Z,stable,/home,"{""referrer"": ""direct"", ""utm_source"": """"}",mobile,UK
evt_003,advertiser_registered,user_1003,sess_5003,2026-03-24T00:12:34Z,canary,/register/advertiser,"{""registration_method"": ""email"", ""company_name"": ""TechCorp"", ""industry"": ""Technology"", ""company_size"": ""51-200"", ""country"": ""US""}",desktop,US
evt_004,page_view,user_1003,sess_5003,2026-03-24T00:13:01Z,canary,/advertiser/dashboard,"{""referrer"": ""internal"", ""utm_source"": """"}",desktop,US
evt_005,kol_registered,user_1004,sess_5004,2026-03-24T00:15:22Z,stable,/register/kol,"{""registration_method"": ""google"", ""primary_platform"": ""instagram"", ""follower_count"": 45000, ""category"": ""Beauty"", ""country"": ""UK""}",mobile,UK
evt_006,button_click,user_1001,sess_5001,2026-03-24T00:18:45Z,canary,/home,"{""button_id"": ""cta_get_started"", ""button_text"": ""Get Started"", ""button_location"": ""hero_section""}",desktop,US
evt_007,page_view,user_1005,sess_5005,2026-03-24T00:22:11Z,canary,/kol/search,"{""referrer"": ""internal"", ""utm_source"": """"}",desktop,CA
evt_008,kol_searched,user_1005,sess_5005,2026-03-24T00:23:45Z,canary,/kol/search,"{""search_query"": ""beauty influencers"", ""filters"": {""platform"": [""instagram""], ""follower_range"": [10000, 100000], ""engagement_rate"": [2, 5]}, ""results_count"": 156, ""page_number"": 1}",desktop,CA
evt_009,form_submit,user_1003,sess_5003,2026-03-24T00:25:33Z,canary,/advertiser/profile,"{""form_id"": ""profile_form"", ""form_name"": ""Advertiser Profile"", ""fields_count"": 12, ""validation_errors"": 0, ""submission_success"": true}",desktop,US
evt_010,account_connected,user_1004,sess_5004,2026-03-24T00:28:56Z,stable,/kol/accounts,"{""platform"": ""instagram"", ""account_username"": ""@beautybysarah"", ""follower_count"": 45000, ""verification_status"": ""verified""}",mobile,UK
